HUD frame time nsec:,6943000

Range Index,Elapsed Time, First Event,Last Event
0,26656,4,4
1,1696,23,23
2,1696,27,27
3,1696,31,31
4,1728,35,35
5,1696,39,39
6,1760,43,43
7,1696,47,47
8,1696,51,51
9,1696,55,55
10,1696,59,59
11,1696,63,63
12,1696,67,67
13,1696,71,71
14,1696,75,75
15,1696,79,79
16,1696,83,83
17,1696,87,87
18,1696,91,91
19,1728,95,95
20,1696,99,99
21,1696,103,103
22,1696,107,107
23,1696,111,111
24,1696,115,115
25,1696,119,119
26,1696,123,123
27,1696,127,127
28,1728,131,131
29,1696,135,135
30,1696,139,139
31,1696,143,143
32,1696,147,147
33,298336,151,151
34,1696,155,155
35,1696,159,159
36,1728,163,163
37,1696,167,167
38,1696,171,171
39,9216,175,175
40,13920,179,179
41,5216,183,183
42,1376,187,187
43,1344,191,191
44,49792,195,195
45,1696,199,199
46,3648,203,203
47,2912,207,207
48,2912,211,211
49,4512,215,215
50,1856,219,219
51,2272,223,223
52,4224,227,227
53,1888,231,231
54,2528,235,235
55,1728,239,239
56,59200,243,243
57,72000,247,247
58,1696,251,251
59,1696,255,255
60,1696,259,259
61,1696,263,263
62,1728,267,267
63,1696,271,271
64,1728,275,275
65,1760,279,279
66,1696,283,283
67,1696,287,287
68,1696,291,291
69,1696,295,295
70,1696,299,299
71,1696,303,303
72,1696,307,307
73,1696,311,311
74,1696,315,315
75,1696,319,319
76,1696,323,323
77,1696,327,327
78,1696,331,331
79,1696,335,335
80,1696,339,339
81,1696,343,343
82,1696,347,347
83,82112,351,351
84,120480,355,355
85,3752768,360,360
