HUD frame time nsec:,6942000

Range Index,Elapsed Time, First Event,Last Event
0,13216,2,2
1,1760,14,14
2,2176,18,18
3,1696,22,22
4,1760,26,26
5,1728,30,30
6,1760,34,34
7,1664,38,38
8,1728,42,42
9,1696,46,46
10,1664,50,50
11,1344,54,54
12,1696,58,58
13,1696,62,62
14,1312,66,66
15,1344,70,70
16,1312,74,74
17,1696,78,78
18,1696,82,82
19,1696,86,86
20,1696,90,90
21,1696,94,94
22,1696,98,98
23,1696,102,102
24,1312,106,106
25,1696,110,110
26,1664,114,114
27,1696,118,118
28,1696,122,122
29,1696,126,126
30,1696,130,130
31,1696,134,134
32,1696,138,138
33,90688,142,142
34,1632,146,146
35,1696,150,150
36,1760,154,154
37,1696,158,158
38,1728,162,162
39,1696,166,166
40,6432,170,170
41,1696,174,174
42,1728,178,178
43,1696,182,182
44,43584,186,186
45,1952,190,190
46,1760,194,194
47,2464,198,198
48,3488,202,202
49,1728,206,206
50,1760,210,210
51,2016,214,214
52,2336,218,218
53,1696,222,222
54,1632,226,226
55,1696,230,230
56,2336,234,234
57,9344,238,238
58,1696,242,242
59,1696,246,246
60,1696,250,250
61,1696,254,254
62,1696,258,258
63,1696,262,262
64,1696,266,266
65,1696,270,270
66,1696,274,274
67,1696,278,278
68,1376,282,282
69,1664,286,286
70,1696,290,290
71,1696,294,294
72,1696,298,298
73,1696,302,302
74,1696,306,306
75,1664,310,310
76,1664,314,314
77,1696,318,318
78,1664,322,322
79,1408,326,326
80,1696,330,330
81,1664,334,334
82,1696,338,338
83,52000,342,342
84,121216,346,346
85,4883968,347,347
